region,reef,siteID,author,year,taxon,species,studyID,lat,lon,lat_spec,lon_spec,spawnMode,studyType,geneMarkers
Pilbara nearshore,Passage,Passage Islands,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21PI,-21.4716,115.1406,-21.103,115.779,broadcast,genetic,"mtDNA, SNP"
Pilbara nearshore,Onslow,Onslow,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21O,-21.4716,115.1406,-21.452,115.034,broadcast,genetic,"mtDNA, SNP"
Exmouth Gulf,Exmouth,Exmouth Gulf 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19EG1,-22.0623,114.1425,-22.3008,114.1781,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth Gulf 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19EG2,-22.0623,114.1425,-22.2947,114.1497,broadcast,genetic,
Exmouth Gulf,Bundegi,Bundegi 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19Bu1,-22.0623,114.1425,-21.8487,114.1695,broadcast,genetic,
Exmouth Gulf,Bundegi,Bundegi 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19Bu2,-22.0623,114.1425,-21.8815,114.1529,broadcast,genetic,
Exmouth Gulf,Exmouth,Exmouth Gulf,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21EG,-22.0623,114.1425,-22.412,114.19,broadcast,genetic,"mtDNA, SNP"
Exmouth Gulf,NWCape,NW Cape1,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22NWC1,-22.0623,114.1425,-21.82,114.15,broadcast,genetic,
Exmouth Gulf,NWCape,NWCape2,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22NWC2,-22.0623,114.1425,-21.82,114.15,broadcast,genetic,
Exmouth Gulf,Bundegi,Bundegi1,Doropoulos et al,2022,Acropora spp.,Acropora spp.,do22Bu1,-22.0623,114.1425,-21.9,114.13,broadcast,genetic,
