Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution,geo_dist_km
ev19M1,ev19CB,0.049,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-23.1404,113.753,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,358.32524687766045
ev19M1,ev19SB1,0.1,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,FALSE,Pilbara Offshore <-> Shark Bay,Microsatellite,Medium,680.1966420421911
ev19M1,ev19SB2,0.117,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,ev19,FALSE,Pilbara Offshore <-> Shark Bay,Microsatellite,Medium,647.7849970624146
ev19M2,ev19T1,0.017,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,116.88748653545602
ev19M2,ev19T2,0.018,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,118.30276011912574
ev19M2,ev19EG1,0.027,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,243.53818297666035
ev19M2,ev19EG2,0.019,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,244.68142197383924
ev19M2,ev19Bu1,0.031,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8487,114.1695,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,205.04008259024857
ev19M2,ev19Bu2,0.023,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8815,114.1529,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,208.87427488812796
ev19M2,ev19N1,0.021,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.9076,113.968,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,224.37010055509973
ev19M2,ev19N2,0.015,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.0079,113.9197,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,235.74024336415496
ev19M2,ev19CB,0.038,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-23.1404,113.753,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,345.55276013427454
ev19M2,ev19SB1,0.099,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,FALSE,Pilbara Offshore <-> Shark Bay,Microsatellite,Medium,667.6338438683508
ev19M2,ev19SB2,0.1,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,ev19,FALSE,Pilbara Offshore <-> Shark Bay,Microsatellite,Medium,635.2207271034937
ev19T1,ev19Mu1,0.021,n,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,70.70998513625756
ev19T1,ev19Mu2,0.02,n,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,74.62773435489599
