Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
un09RS1S,un09RS2S,0.03,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.98,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.07,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS1S,un09RS33,0.06,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.98,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.3,119.13,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS1S,un09RS3S,0.09,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.98,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.28,119.15,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS22,un09RS2S,0.01,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.05,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.07,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS22,un09RS33,0.02,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.05,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.3,119.13,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS22,un09RS3S,0.04,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.05,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.28,119.15,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS2S,un09RS33,0,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.07,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.3,119.13,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS2S,un09RS3S,0.01,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.07,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.28,119.15,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS33,un09RS3S,0,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.3,119.13,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.28,119.15,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09DC1,un09DE1,0.02,y,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.4,116.55,Acropora,un09,Dampier Archipelago,broadcast,Acropora tenuis,Underwood,2009,-20.48,116.65,Acropora,un09,un09,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
